id_aircraft;n-number;company_id;model_id;engine_id;aircraft_type_id;year
4985;N9018E;93;24;1;1;2014
4986;N9019F;93;24;1;1;2014
4987;N901AA;16;25;1;1;2017
4988;N901AN;16;43;1;1;1999
4989;N901DE;33;128;2;1;1992
4990;N901DN;21;100;1;1;2018
4991;N901EV;79;118;1;1;2002
4992;N901NK;90;27;1;1;2016
4993;N901NN;90;43;1;1;2012
4994;N901WN;80;57;1;1;2007
4995;N901XJ;33;119;1;1;2007
4996;N9021H;93;24;1;1;2014
4997;N9022G;93;24;1;1;2014
4998;N9023N;93;24;1;1;2014
4999;N9025B;93;24;1;1;2014
5000;N9026C;16;24;1;1;2015
5001;N9029F;16;24;1;1;2015
5002;N902AA;21;25;1;1;2017
5003;N902AN;16;43;1;1;1999
5004;N902BC;16;135;1;1;2005
5005;N902DE;33;128;2;1;1992
5006;N902DN;21;100;1;1;2018
5007;N902EV;79;118;1;1;2002
5008;N902FJ;60;119;1;1;2003
5009;N902NK;90;27;1;1;2016
5010;N902NN;93;43;1;1;2012
5011;N902WN;80;57;1;1;2007
5012;N902XJ;33;119;1;1;2007
5013;N903AA;16;25;1;1;2017
5014;N903AN;16;43;1;1;1999
5015;N903DE;33;128;2;1;1992
5016;N903DN;33;100;1;1;2018
5017;N903EV;79;118;1;1;2002
5018;N903FJ;60;119;1;1;2003
5019;N903JB;48;25;1;1;2013
5020;N903NK;90;27;1;1;2016
5021;N903NN;90;43;1;1;2012
5022;N903SW;79;118;1;1;2000
5023;N903WN;93;57;1;1;2007
5024;N903XJ;33;119;1;1;2007
5025;N904AA;21;25;1;1;2017
5026;N904AN;16;43;1;1;1999
5027;N904DE;33;128;2;1;1992
5028;N904DL;33;128;1;1;1987
5029;N904DN;33;100;1;1;2018
5030;N904EV;79;118;1;1;2002
5031;N904FJ;60;119;1;1;2003
5032;N904NK;90;27;1;1;2016
5033;N904NN;90;43;1;1;2012
5034;N904WN;93;57;1;1;2008
5035;N904XJ;33;119;1;1;2007
5036;N905AN;16;43;1;1;1999
5037;N905AU;21;25;1;1;2017
5038;N905DA;33;61;2;1;1995
5039;N905DE;33;128;2;1;1992
5040;N905DL;33;128;1;1;1987
5041;N905DN;33;100;1;1;2018
5042;N905EV;79;118;1;1;2002
5043;N905J;60;119;1;1;2003
5044;N905JB;48;25;1;1;2013
5045;N905JH;16;135;1;1;2005
5046;N905NK;90;27;1;1;2016
5047;N905NN;93;43;1;1;2012
5048;N905SW;79;118;1;1;2000
5049;N905WN;93;57;1;1;2008
5050;N905XJ;33;119;1;1;2007
5051;N906AA;21;25;1;1;2017
5052;N906AN;16;43;1;1;1999
5053;N906AT;23;76;1;1;2001
5054;N906DA;33;61;2;1;1995
5055;N906DE;33;128;2;1;1992
5056;N906DL;33;128;1;1;1987
5057;N906DN;33;100;1;1;2018
5058;N906EV;79;118;1;1;
5059;N906FJ;60;119;1;1;2003
5060;N906NK;90;27;1;1;2018
5061;N906NN;90;43;1;1;2012
5062;N906SW;79;118;1;1;2001
5063;N906WN;80;57;1;1;2008
5064;N906XJ;33;119;1;1;2007
