id_city;name;state_abbrev
241;MAMMOTH LAKES;CA
242;SUN VALLEY/HAILEY/KETCHUM;ID
243;SAN LUIS OBISPO;CA
244;SANTA ROSA;CA
245;CODY;WY
246;LEWISTON;ID
247;POCATELLO;ID
248;MARQUETTE;MI
249;ABERDEEN;SD
250;ALPENA;MI
251;PELLSTON;MI
252;BEMIDJI;MN
253;BRAINERD;MN
254;BUTTE;MT
255;CEDAR CITY;UT
256;SAULT STE. MARIE;MI
257;ELKO;NV
258;IRON MOUNTAIN/KINGSFD;MI
259;TWIN FALLS;ID
260;HIBBING;MN
261;BINGHAMTON;NY
262;RHINELANDER;WI
263;INTERNATIONAL FALLS;MN
264;YUMA;AZ
265;COLLEGE STATION/BRYAN;TX
266;BROWNSVILLE;TX
267;FLAGSTAFF;AZ
268;MANHATTAN/FT. RILEY;KS
269;JOPLIN;MO
270;CHEYENNE;WY
271;MERIDIAN;MS
272;HATTIESBURG/LAUREL;MS
273;ROSWELL;NM
274;LAWTON/FORT SILL;OK
275;SANTA FE;NM
276;SCRANTON/WILKES-BARRE;PA
277;DOTHAN;AL
278;KALAMAZOO;MI
279;WILLISTON;ND
280;GUNNISON;CO
281;MIAMI;FL
282;KONA;HI
283;KAHULUI;HI
284;HONOLULU;HI
285;LIHUE;HI
286;CHRISTIANSTED;VI
287;WICHITA FALLS;TX
288;STILLWATER;OK
289;LAKE CHARLES;LA
290;ABILENE;TX
291;DUBUQUE;IA
292;SIOUX CITY;IA
293;CHAMPAIGN/URBANA;IL
294;TYLER;TX
295;SAN ANGELO;TX
296;KILLEEN;TX
297;BEAUMONT/PORT ARTHUR;TX
298;WACO;TX
299;MOSINEE;WI
300;GUAM;TT
301;SAIPAN;TT
302;ANCHORAGE;AK
303;AUGUSTA;GA
304;KEY WEST;FL
305;FORT SMITH;AR
306;HILO;HI
307;FAIRBANKS;AK
308;KODIAK;AK
309;BETHEL;AK
310;BARROW;AK
311;DEADHORSE;AK
312;KETCHIKAN;AK
313;CORDOVA;AK
314;JUNEAU;AK
315;YAKUTAT;AK
316;SITKA;AK
317;WRANGELL;AK
318;PETERSBURG;AK
319;NOME;AK
320;KOTZEBUE;AK
321;ADAK ISLAND;AK
322;HILTON HEAD;SC
323;COLUMBUS;MS
324;COLUMBUS;GA
325;OGDENSBURG;NY
326;HAGERSTOWN;MD
327;ATLANTIC CITY;NJ
328;DEL RIO;TX
329;GARDEN CITY;KS
330;WATERLOO;IA
331;TEXARKANA;AR
332;NEW BERN/MOREHEAD/BEAUFORT;NC
333;TRENTON;NJ
334;PAGO PAGO;TT
335;HOBBS;NM
336;WATERTOWN;NY
337;NEW HAVEN;CT
338;LONGVIEW;TX
339;LYNCHBURG;VA
340;EVERETT;WA
341;BRANSON;MO
342;WATERTOWN;SD
343;PIERRE;SD
344;WEST YELLOWSTONE;MT
345;NANTUCKET;MA
346;MARTHA'S VINEYARD;MA
347;GUSTAVUS;AK
348;KING SALMON;AK
349;DILLINGHAM;AK
350;HYANNIS;MA
351;GREENVILLE;NC
352;RIVERTON/LANDER;WY
353;SHERIDAN;WY
354;DODGE CITY;KS
355;DECATUR;IL
356;DICKINSON;ND
357;COLD BAY;AK
358;ARLINGTON;VA
359;AURORA;OR
360;BEAUFORT;NC
361;BELLEVILLE;PA
362;BEND;OR
363;BURLINGAME;CA
364;CAMBRIDGE;MA
365;CAMDEN;DE
366;CAMERON;SC
367;CANYON;TX
368;CLAYTON;IN
369;CLEVELAND;MS
370;COTTONWOOD;ID
371;COVINGTON;LA
372;DUNCAN;OK
373;EL PRADO;NM
374;FORT WORTH;TX
375;GREENBELT;MD
376;GREENVILLE;DE
377;HASKELL;OK
378;HORSESHOE BAY;TX
379;IRVING;TX
380;KENNETT;MO
381;KIMBERLY;ID
382;LAGRANGE;IN
383;LEESBURG;VA
384;LONG ISLAND CITY;NY
385;MILFORD;NE
386;MILTON;FL
387;MIRAMAR;FL
388;MOUNT SHASTA;CA
389;MOUNT VERNON;WA
390;NAPOLEON;ND
391;NEWARK;DE
392;NEWPORT;AR
393;NORTH KINGSTOWN;RI
394;NORTH SALT LAKE;UT
395;NORWALK;CT
396;OLD CHATHAM;NY
397;PINE BLUFF;AR
398;PORT EWEN;NY
399;ROCKAWAY;NJ
400;ROMEOVILLE;IL
401;SAINT GEORGE;UT
402;SCOTTSDALE;AZ
403;SEATAC;WA
404;SPRINGFIELD;OH
405;SYKESVILLE;MD
406;THOUSAND OAKS;CA
407;VANDALIA;OH
408;WAUPUN;WI
409;WILMINGTON;DE
410;WILMINGTON;OH
411;KNOXVILLE;TN
